Pulse,Temperature,Time,Place,Outcome
85,39.5,17:00,Not Home,Lose
100,36.5,1:00,Home,Win
97,35.7,20:00,Not Home,Win
69,36.2,8:00,Home,Win
58,39.3,15:00,Home,Win
108,36,17:00,Home,Win
110,39.4,16:00,Not Home,Lose
73,37.9,22:00,Home,Win
108,37.3,22:00,Home,Win
67,38.3,16:00,Not Home,Lose
67,38.6,10:00,Not Home,Lose
116,39.3,16:00,Not Home,Lose
50,35.1,11:00,Not Home,Win
96,35.3,17:00,Home,Win
63,38.6,17:00,Not Home,Lose
63,35.3,8:00,Not Home,Lose
84,36,16:00,Home,Win
51,38,5:00,Home,Win
60,37.4,21:00,Not Home,Win
75,37.9,6:00,Not Home,Lose
50,37.7,16:00,Home,Win
90,37.7,1:00,Not Home,Lose
62,37.6,19:00,Home,Win
80,38.2,3:00,Home,Lose
73,38.4,19:00,Home,Win
118,35.3,23:00,Home,Lose
102,37.6,9:00,Home,Win
115,37.3,7:00,Not Home,Lose
69,36.1,22:00,Home,Win
69,36.6,19:00,Not Home,Win
78,36.4,14:00,Not Home,Win
111,38.5,8:00,Not Home,Lose
58,37.6,15:00,Home,Win
81,36.3,16:00,Not Home,Win
55,38.5,20:00,Not Home,Lose
62,38.5,15:00,Not Home,Lose
55,35.5,13:00,Not Home,Win
99,37.5,14:00,Home,Win
80,37.5,1:00,Not Home,Lose
111,36.1,3:00,Home,Lose
119,35.7,6:00,Not Home,Lose
117,36.7,6:00,Home,Lose
77,35.6,19:00,Not Home,Win
76,38.4,8:00,Home,Lose
99,35.2,13:00,Not Home,Win
90,35.5,13:00,Not Home,Win
59,37.5,9:00,Home,Win
84,38.6,17:00,Home,Win
74,36.5,15:00,Not Home,Win
52,39.3,18:00,Not Home,Lose
84,36.5,17:00,Home,Win
119,37.6,22:00,Not Home,Lose
82,39.6,2:00,Not Home,Lose
60,37.8,23:00,Not Home,Lose
64,37.8,5:00,Home,Win
83,35.5,18:00,Not Home,Win
73,39.2,18:00,Home,Win
78,36.9,23:00,Not Home,Lose
103,38.1,0:00,Not Home,Lose
63,37,22:00,Home,Win
69,39.3,0:00,Home,Lose
82,35.9,18:00,Not Home,Win
88,37.8,12:00,Home,Win
106,39.2,18:00,Home,Win
105,36.6,2:00,Home,Win
115,36.4,10:00,Not Home,Lose
118,36.8,2:00,Not Home,Lose
79,38,7:00,Home,Win
108,37.2,6:00,Not Home,Lose
89,36.3,3:00,Home,Win
56,38.2,2:00,Home,Lose
98,39.1,17:00,Home,Win
113,35.4,10:00,Not Home,Lose
106,37,7:00,Not Home,Lose
72,35.8,16:00,Not Home,Win
63,36.9,5:00,Not Home,Lose
88,37,10:00,Home,Win
115,35.3,19:00,Not Home,Lose
98,37.1,4:00,Home,Win
67,36.4,7:00,Home,Win
78,36.7,3:00,Home,Win
54,38.7,15:00,Home,Win
103,38.6,18:00,Not Home,Lose
74,37.3,4:00,Home,Win
55,35.4,0:00,Not Home,Lose
54,37,4:00,Home,Win
72,38.5,9:00,Home,Lose
69,39,12:00,Home,Win
83,39,8:00,Home,Lose
83,36.6,18:00,Not Home,Win
118,37.8,9:00,Home,Lose
81,36.7,0:00,Not Home,Lose
116,37.8,16:00,Home,Lose
83,37.1,19:00,Not Home,Win
91,35.6,2:00,Not Home,Lose
69,38.5,6:00,Home,Lose
90,37.3,20:00,Not Home,Win
112,36.1,13:00,Not Home,Lose
95,38.2,9:00,Not Home,Lose
72,36.7,18:00,Home,Win
57,38,4:00,Home,Win
59,37.2,11:00,Not Home,Win
89,37.3,0:00,Not Home,Lose
54,37.4,20:00,Not Home,Win
76,38.1,3:00,Not Home,Lose
51,37.7,16:00,Not Home,Lose
116,38.8,22:00,Home,Lose
102,36.4,4:00,Not Home,Lose
111,36.5,10:00,Home,Lose
93,39.5,16:00,Not Home,Lose
108,35.2,0:00,Not Home,Lose
109,35,17:00,Home,Win
118,38.4,3:00,Not Home,Lose
106,37.6,10:00,Not Home,Win
83,37,7:00,Home,Win
58,36.2,18:00,Home,Win
112,39.5,5:00,Home,Lose
102,35.1,14:00,Not Home,Win
85,39.6,18:00,Home,Win
75,35.4,22:00,Home,Win
94,37.7,9:00,Home,Win
96,36.2,18:00,Not Home,Win
52,35.7,14:00,Home,Win
97,38.7,13:00,Not Home,Lose
91,35.3,8:00,Not Home,Lose
83,37,16:00,Home,Win
73,37.5,4:00,Not Home,Lose
95,39.2,18:00,Home,Win
77,37.8,23:00,Home,Win
62,35.8,10:00,Not Home,Win
79,36.1,10:00,Not Home,Win
53,36.4,1:00,Home,Win
72,36,12:00,Home,Win
109,39,14:00,Home,Win
77,39.3,0:00,Home,Lose
105,37.1,21:00,Home,Win
113,36.9,12:00,Home,Lose
91,38.7,2:00,Not Home,Lose
65,38.5,3:00,Home,Lose
92,36.1,5:00,Not Home,Lose
99,35.4,19:00,Home,Win
105,38.3,10:00,Not Home,Lose
109,39.6,22:00,Not Home,Lose
103,35.4,11:00,Home,Win
95,36.7,14:00,Home,Win
65,37.9,3:00,Not Home,Lose
93,39.6,23:00,Not Home,Lose
104,35.6,4:00,Not Home,Lose
83,36.4,16:00,Not Home,Win
111,36.5,13:00,Not Home,Lose
109,38.4,10:00,Not Home,Lose
69,38.3,18:00,Home,Win
97,37.2,20:00,Home,Win
57,36.7,13:00,Not Home,Win
71,38.6,13:00,Not Home,Lose
94,38.2,5:00,Not Home,Lose
59,36.1,17:00,Not Home,Win
93,38.8,16:00,Not Home,Lose
90,35.2,11:00,Not Home,Win
78,38.7,15:00,Not Home,Lose
110,35.8,20:00,Not Home,Lose
67,38.2,20:00,Home,Win
108,38.2,10:00,Not Home,Lose
71,39.6,11:00,Home,Win
117,36.7,16:00,Home,Lose
86,35.9,9:00,Home,Win
55,37.3,0:00,Not Home,Lose
55,38,0:00,Not Home,Lose
79,37.6,23:00,Home,Win
118,38.3,21:00,Home,Lose
76,35.7,20:00,Not Home,Win
66,38.3,14:00,Not Home,Lose
91,36.3,6:00,Not Home,Lose
114,37.6,17:00,Home,Lose
106,35.2,12:00,Not Home,Win
104,38.6,12:00,Home,Win
65,36.5,6:00,Not Home,Lose
111,37.3,23:00,Not Home,Lose
74,35.5,10:00,Home,Win
96,35.5,12:00,Home,Win
75,35.1,11:00,Home,Win
57,37.4,2:00,Home,Win
94,35.3,4:00,Home,Win
115,37.8,10:00,Not Home,Lose
102,36.7,2:00,Not Home,Lose
99,38.4,23:00,Home,Lose
109,39.5,22:00,Home,Win
53,37.9,13:00,Home,Win
56,36.5,21:00,Not Home,Win
53,35.4,15:00,Not Home,Win
54,37.1,17:00,Not Home,Win
52,38,2:00,Home,Win
112,36.4,16:00,Home,Lose
79,35.7,6:00,Home,Win
99,38.1,10:00,Not Home,Lose
65,38.3,8:00,Home,Lose
114,37.9,0:00,Not Home,Lose
63,37.7,6:00,Not Home,Lose
57,36.8,13:00,Not Home,Win
112,35.3,22:00,Home,Lose
88,35.2,13:00,Home,Win
114,38.5,4:00,Home,Lose
57,35.7,12:00,Not Home,Win
117,39.5,6:00,Home,Lose
87,38.9,13:00,Not Home,Lose
85,39.2,7:00,Not Home,Lose
67,38.8,7:00,Not Home,Lose
117,35.5,8:00,Not Home,Lose
55,36.4,18:00,Not Home,Win
103,35.6,3:00,Not Home,Lose
118,38.1,18:00,Not Home,Lose
98,38.3,6:00,Home,Lose
94,37.8,16:00,Not Home,Win
110,38.7,15:00,Not Home,Lose
87,37,4:00,Not Home,Lose
88,35.9,5:00,Home,Win
50,38.6,6:00,Not Home,Lose
100,37.6,17:00,Not Home,Lose
88,38.8,13:00,Not Home,Lose
66,39.4,14:00,Not Home,Lose
89,37,19:00,Home,Win
82,36,13:00,Home,Win
98,36.1,21:00,Not Home,Win
101,35.7,5:00,Not Home,Lose
78,36.7,0:00,Not Home,Lose
53,38.6,21:00,Not Home,Lose
118,36.4,21:00,Home,Lose
61,39.5,22:00,Home,Win
98,35.3,19:00,Not Home,Win
112,39.2,13:00,Not Home,Lose
54,36.9,5:00,Not Home,Lose
114,35.5,19:00,Not Home,Lose
98,39.3,16:00,Not Home,Lose
77,37.5,23:00,Not Home,Lose
109,36.4,10:00,Home,Win
84,38.2,20:00,Home,Win
89,36.9,5:00,Home,Win
89,36.9,0:00,Home,Win
83,38.8,19:00,Home,Win
76,35.2,1:00,Not Home,Lose
69,36.7,13:00,Home,Win
80,35.1,14:00,Home,Win
73,37.5,2:00,Home,Win
109,38,4:00,Not Home,Lose
58,35.8,2:00,Home,Win
116,36.6,11:00,Home,Lose
71,39.3,20:00,Not Home,Lose
80,38,1:00,Home,Win
117,39.3,20:00,Home,Lose
93,36.2,9:00,Not Home,Lose
108,35.8,10:00,Home,Win
114,38.7,14:00,Not Home,Lose
118,35.4,20:00,Home,Lose
102,37.8,23:00,Not Home,Lose
55,39.6,1:00,Home,Lose
90,36.8,14:00,Home,Win
108,36.7,12:00,Home,Win
107,35.6,3:00,Not Home,Lose
67,39.5,7:00,Home,Lose
63,35.5,21:00,Home,Win
107,39.1,22:00,Not Home,Lose
65,37.1,19:00,Home,Win
106,39,5:00,Home,Lose
83,38.7,1:00,Not Home,Lose
62,38.5,4:00,Home,Lose
51,39.5,19:00,Home,Win
111,36.4,7:00,Home,Lose
95,37.2,15:00,Home,Win
55,36.7,14:00,Not Home,Win
111,35.6,8:00,Not Home,Lose
113,35.7,17:00,Not Home,Lose
104,38.4,3:00,Home,Lose
57,35.2,22:00,Not Home,Win
83,37.9,5:00,Not Home,Lose
112,36.9,8:00,Home,Lose
77,37.7,2:00,Home,Win
96,38.7,5:00,Home,Lose
70,35,11:00,Home,Win
86,39.1,8:00,Home,Lose
61,35.5,16:00,Home,Win
55,39.5,6:00,Home,Lose
61,35.5,7:00,Home,Win
93,38.5,9:00,Home,Lose
99,35.3,19:00,Home,Win
53,38.7,20:00,Home,Win
51,37.2,5:00,Not Home,Lose
66,35.6,22:00,Home,Win
105,35.9,20:00,Not Home,Win
117,36.5,20:00,Not Home,Lose
115,38.2,20:00,Home,Lose
89,37.1,20:00,Home,Win
61,39.6,10:00,Not Home,Lose
80,39.4,8:00,Not Home,Lose
53,39.3,1:00,Home,Lose
66,37.4,6:00,Home,Win
85,37.7,3:00,Home,Win
54,35.6,10:00,Not Home,Win
70,36.3,6:00,Home,Win
78,39.3,6:00,Not Home,Lose
85,38.3,3:00,Home,Lose
70,35.7,21:00,Home,Win
91,35,3:00,Not Home,Lose
50,36.2,6:00,Home,Win
119,36.1,1:00,Home,Lose
65,38.3,14:00,Home,Win
108,38.3,14:00,Home,Win
68,36.3,10:00,Home,Win
61,35.7,14:00,Not Home,Win
56,38.3,4:00,Not Home,Lose
56,38.6,22:00,Home,Win
60,36.2,5:00,Not Home,Lose
77,38.3,21:00,Home,Win
83,38.9,7:00,Home,Lose
101,36.1,1:00,Home,Win
93,37.5,14:00,Not Home,Win
119,39.3,11:00,Not Home,Lose
69,35.7,18:00,Home,Win
60,37.9,5:00,Home,Win
86,38.7,12:00,Not Home,Lose
104,38.7,6:00,Not Home,Lose
116,36.4,10:00,Home,Lose
119,35.9,19:00,Not Home,Lose
74,35.4,21:00,Home,Win
79,36.3,14:00,Not Home,Win
64,38.1,7:00,Not Home,Lose
58,39.1,17:00,Home,Win
93,37.4,10:00,Not Home,Win
99,39.3,14:00,Not Home,Lose
87,35.4,19:00,Not Home,Win
89,38.7,1:00,Home,Lose
96,36.2,20:00,Not Home,Win
104,35.9,5:00,Not Home,Lose
52,37.2,10:00,Home,Win
119,35.6,20:00,Not Home,Lose
70,37.3,11:00,Home,Win
104,37.1,6:00,Not Home,Lose
112,37.3,10:00,Not Home,Lose
51,35.7,15:00,Not Home,Win
74,35.9,5:00,Home,Win
94,36.5,14:00,Home,Win
84,37.5,18:00,Home,Win
85,39,1:00,Not Home,Lose
96,39,4:00,Home,Lose
65,36.1,1:00,Not Home,Lose
57,39.3,9:00,Not Home,Lose
110,35.8,19:00,Not Home,Lose
70,38.4,1:00,Not Home,Lose
60,38.5,12:00,Not Home,Lose
55,39.2,18:00,Home,Win
96,36.5,4:00,Home,Win
57,38,21:00,Not Home,Lose
108,39.2,9:00,Home,Lose
80,38.4,10:00,Home,Win
111,38.3,12:00,Not Home,Lose
90,37.7,21:00,Home,Win
103,36.8,16:00,Not Home,Win
69,39.6,9:00,Not Home,Lose
94,37.1,17:00,Not Home,Win
65,35.1,15:00,Home,Win
110,38.4,6:00,Home,Lose
97,38.5,13:00,Not Home,Lose
98,38.6,15:00,Not Home,Lose
97,39.5,1:00,Home,Lose
64,38.6,12:00,Not Home,Lose
66,36.2,10:00,Home,Win
109,36.2,13:00,Not Home,Win
99,37.7,16:00,Home,Win
113,38.9,19:00,Not Home,Lose
69,36,7:00,Home,Win
53,39.2,11:00,Not Home,Lose
53,37.1,18:00,Home,Win
76,35.2,7:00,Home,Win
66,36.3,5:00,Home,Win
79,36.4,8:00,Not Home,Lose
116,38.5,8:00,Not Home,Lose
51,36.9,7:00,Home,Win
107,35.1,20:00,Not Home,Win
101,36.2,15:00,Home,Win
96,36.4,21:00,Not Home,Win
82,35.3,21:00,Not Home,Win
79,38.2,22:00,Home,Win
58,39.5,12:00,Not Home,Lose
78,38.9,23:00,Home,Lose
104,37.4,4:00,Not Home,Lose
106,36.3,7:00,Home,Win
117,37.3,14:00,Not Home,Lose
108,38.5,6:00,Home,Lose
116,39.1,22:00,Not Home,Lose
67,35.4,15:00,Not Home,Win
76,39.1,9:00,Home,Lose
66,37.3,12:00,Not Home,Win
52,37.1,20:00,Not Home,Win
67,37.9,21:00,Home,Win
114,37.4,14:00,Home,Lose
115,37.6,2:00,Not Home,Lose
76,38,12:00,Home,Win
119,37.2,4:00,Home,Lose
94,35.4,8:00,Not Home,Lose
81,35.7,19:00,Not Home,Win
92,36.5,21:00,Not Home,Win
110,39.4,14:00,Home,Lose
100,38.3,13:00,Home,Win
97,35.9,0:00,Not Home,Lose
111,38.3,10:00,Home,Lose
100,37.1,7:00,Not Home,Lose
115,38.7,6:00,Home,Lose
109,37.7,3:00,Home,Win
96,36,4:00,Home,Win
64,38.4,2:00,Home,Lose
92,36.3,20:00,Home,Win
63,36.3,2:00,Home,Win
95,36.9,22:00,Home,Win
114,36.5,11:00,Not Home,Lose
118,35,9:00,Home,Lose
103,35.5,2:00,Not Home,Lose
63,38.7,14:00,Home,Win
73,37.3,19:00,Home,Win
84,36.4,9:00,Not Home,Lose
101,37.2,19:00,Home,Win
100,37.9,22:00,Home,Win
90,38.6,13:00,Not Home,Lose
78,39.3,16:00,Not Home,Lose
64,38.7,17:00,Home,Win
103,35.1,15:00,Not Home,Win
113,38.9,22:00,Not Home,Lose
100,37.3,9:00,Home,Win
64,36.3,3:00,Not Home,Lose
85,35.1,18:00,Not Home,Win
58,35.8,14:00,Home,Win
55,35.5,22:00,Not Home,Win
118,38.6,0:00,Home,Lose
85,35.9,5:00,Not Home,Lose
95,36.4,22:00,Not Home,Win
99,38.5,11:00,Not Home,Lose
93,39.1,12:00,Home,Win
109,35.4,18:00,Home,Win
105,37.8,23:00,Home,Win
116,37.5,14:00,Not Home,Lose
55,38.3,23:00,Home,Lose
64,35.9,18:00,Home,Win
78,38,23:00,Home,Win
83,35.5,7:00,Home,Win
72,35.5,9:00,Not Home,Lose
60,36.4,8:00,Not Home,Lose
74,38.3,21:00,Not Home,Lose
58,35.2,3:00,Not Home,Lose
109,35.6,16:00,Not Home,Win
104,39.5,11:00,Home,Win
112,39.5,8:00,Not Home,Lose
111,35.1,8:00,Home,Lose
52,39.5,8:00,Home,Lose
51,35.5,4:00,Not Home,Lose
76,37.4,4:00,Not Home,Lose
77,36.5,11:00,Not Home,Win
62,39.4,3:00,Not Home,Lose
69,39.2,7:00,Not Home,Lose
93,35.1,8:00,Not Home,Lose
72,35.4,6:00,Not Home,Lose
95,37.2,0:00,Home,Win
90,36.7,5:00,Not Home,Lose
58,36.3,2:00,Not Home,Lose
102,36.5,0:00,Home,Win
94,36.7,20:00,Home,Win
51,39.4,9:00,Not Home,Lose
84,36.5,15:00,Not Home,Win
66,35.7,21:00,Home,Win
111,37.4,7:00,Not Home,Lose
119,36.4,9:00,Not Home,Lose
57,35.1,23:00,Not Home,Lose
95,38.9,18:00,Home,Win
72,39.1,11:00,Home,Win
104,36.4,16:00,Home,Win
94,36.7,4:00,Not Home,Lose
83,37.9,4:00,Not Home,Lose
91,37.7,8:00,Home,Win
67,37.2,4:00,Home,Win
118,36,2:00,Not Home,Lose
109,37.8,6:00,Home,Win
56,36.9,16:00,Not Home,Win
108,39.3,0:00,Home,Lose
82,35.3,9:00,Home,Win
66,37.1,12:00,Not Home,Win
108,38.9,0:00,Home,Lose
108,35.2,14:00,Home,Win
113,36.5,3:00,Not Home,Lose
70,36.8,10:00,Home,Win
103,35.3,22:00,Home,Win
70,37.3,13:00,Not Home,Win
54,35.3,9:00,Home,Win
114,35.3,3:00,Home,Lose
106,37.3,23:00,Not Home,Lose
82,36,3:00,Not Home,Lose
72,39.6,2:00,Home,Lose
51,38,13:00,Home,Win
94,38.1,7:00,Home,Win
58,39.4,9:00,Home,Lose
65,39.3,14:00,Home,Win
52,38,5:00,Not Home,Lose
67,35.8,21:00,Not Home,Win
60,37.2,2:00,Not Home,Lose
110,38.1,18:00,Home,Lose
51,35.9,12:00,Not Home,Win
70,37.9,12:00,Home,Win
51,38.2,5:00,Home,Lose
61,38.7,11:00,Not Home,Lose
82,35.4,18:00,Not Home,Win
95,36.4,4:00,Not Home,Lose
106,37.7,0:00,Not Home,Lose
65,35.7,19:00,Not Home,Win
97,38.9,10:00,Not Home,Lose
74,37,17:00,Not Home,Win
113,35.4,18:00,Not Home,Lose
55,39,7:00,Not Home,Lose
57,36.4,15:00,Not Home,Win
113,36.4,10:00,Not Home,Lose
51,37.1,2:00,Not Home,Lose
52,38.9,19:00,Home,Win
76,38.6,11:00,Not Home,Lose
94,36.1,9:00,Not Home,Lose
71,35.8,0:00,Home,Win
66,37.5,12:00,Home,Win
84,35.8,9:00,Not Home,Lose
106,36,10:00,Not Home,Win
58,35.7,21:00,Not Home,Win
103,35.1,0:00,Home,Win
105,37,14:00,Not Home,Win
111,38.5,4:00,Home,Lose
103,35.7,18:00,Not Home,Win
51,35.2,6:00,Not Home,Lose
82,39.5,2:00,Home,Lose
96,38.3,3:00,Not Home,Lose
106,36,11:00,Not Home,Win
74,39.4,13:00,Not Home,Lose
82,38.7,21:00,Not Home,Lose
93,35.5,17:00,Not Home,Win
65,37.2,3:00,Home,Win
87,36.2,7:00,Not Home,Lose
118,37.1,13:00,Not Home,Lose
73,37.9,10:00,Home,Win
90,38.7,21:00,Home,Win
62,36.3,23:00,Not Home,Lose
70,38.4,0:00,Not Home,Lose
84,37.6,18:00,Not Home,Lose
87,35.5,13:00,Home,Win
95,35.6,7:00,Home,Win
82,35.5,16:00,Not Home,Win
116,39,19:00,Home,Lose
59,39.5,19:00,Home,Win
52,39,21:00,Home,Win
50,35.1,2:00,Home,Win
80,39.4,0:00,Not Home,Lose
57,39.4,6:00,Home,Lose
74,35.1,2:00,Not Home,Lose
109,37.1,13:00,Home,Win
83,35.2,10:00,Not Home,Win
117,37.8,19:00,Not Home,Lose
101,35,9:00,Home,Win
61,35,10:00,Not Home,Win
100,37.4,21:00,Home,Win
93,39.1,4:00,Not Home,Lose
80,36.4,14:00,Home,Win
87,37.1,6:00,Not Home,Lose
110,38.3,6:00,Not Home,Lose
78,35.7,5:00,Not Home,Lose
54,37.6,19:00,Not Home,Win
94,36,17:00,Home,Win
95,39.3,23:00,Home,Lose
62,38.5,19:00,Not Home,Lose
80,38.9,16:00,Home,Win
65,37.8,12:00,Home,Win
97,37.1,4:00,Not Home,Lose
101,35.1,4:00,Home,Win
97,35.6,8:00,Home,Win
71,36.9,22:00,Home,Win
54,38.6,19:00,Not Home,Lose
114,39.4,1:00,Home,Lose
99,35,19:00,Home,Win
102,39.5,0:00,Not Home,Lose
87,39,0:00,Home,Lose
106,36.5,2:00,Home,Win
75,37.1,20:00,Home,Win
115,36.9,4:00,Home,Lose
80,35.1,16:00,Not Home,Win
90,35.3,5:00,Not Home,Lose
50,39,11:00,Not Home,Lose
74,37.1,18:00,Home,Win
96,36.8,1:00,Home,Win
109,38.1,7:00,Not Home,Lose
97,37.6,3:00,Home,Win
59,38.9,23:00,Home,Lose
56,36.1,14:00,Not Home,Win
87,35.4,22:00,Not Home,Win
66,38.3,13:00,Not Home,Lose
66,35.5,7:00,Home,Win
95,35.9,3:00,Not Home,Lose
84,38.1,1:00,Home,Win
67,37.9,4:00,Home,Win
51,36.6,0:00,Home,Win
89,39.4,22:00,Not Home,Lose
66,38.9,9:00,Home,Lose
100,38.2,2:00,Not Home,Lose
86,37.2,0:00,Not Home,Lose
53,37.9,20:00,Home,Win
81,39.4,15:00,Home,Win
82,35.4,9:00,Not Home,Lose
60,37,13:00,Not Home,Win
87,38.2,16:00,Home,Win
53,37.9,7:00,Home,Win
51,35.8,17:00,Not Home,Win
66,38.4,6:00,Home,Lose
118,36.4,9:00,Home,Lose
61,36.4,12:00,Not Home,Win
109,36.2,16:00,Not Home,Win
114,37.2,5:00,Home,Lose
119,35.2,20:00,Home,Lose
100,36.6,21:00,Not Home,Win
94,37.2,0:00,Home,Win
112,37.9,0:00,Not Home,Lose
113,36.5,2:00,Home,Lose
78,39.3,17:00,Home,Win
76,37.5,10:00,Not Home,Win
52,36.5,8:00,Not Home,Lose
63,37.2,5:00,Home,Win
55,38.3,20:00,Home,Win
96,35.4,21:00,Home,Win
93,39.3,14:00,Not Home,Lose
55,36.2,22:00,Not Home,Win
59,35.9,6:00,Not Home,Lose
82,39.4,2:00,Home,Lose
52,38.4,7:00,Home,Lose
51,37.7,19:00,Not Home,Win
87,38.3,4:00,Home,Lose
62,36.8,15:00,Not Home,Win
53,35.6,9:00,Home,Win
96,37.1,8:00,Not Home,Lose
63,38.3,15:00,Not Home,Lose
110,38.9,5:00,Not Home,Lose
83,36.9,16:00,Home,Win
51,35.3,9:00,Home,Win
63,37.1,5:00,Not Home,Lose
101,39.6,22:00,Not Home,Lose
59,38.5,21:00,Home,Win
99,38.7,12:00,Home,Win
111,39.5,13:00,Not Home,Lose
57,38.6,11:00,Home,Win
57,37.6,3:00,Home,Win
114,35.9,4:00,Home,Lose
82,38.8,20:00,Home,Win
118,36.8,10:00,Not Home,Lose
95,38.9,16:00,Not Home,Lose
56,38.8,15:00,Home,Win
116,39.5,11:00,Not Home,Lose
101,35.5,19:00,Not Home,Win
78,39,16:00,Home,Win
78,35.3,11:00,Not Home,Win
57,36.6,11:00,Home,Win
80,38.2,0:00,Not Home,Lose
54,38.9,4:00,Not Home,Lose
93,36,23:00,Not Home,Lose
81,37.1,4:00,Home,Win
111,37.2,8:00,Home,Lose
102,37.4,0:00,Not Home,Lose
100,39.4,11:00,Not Home,Lose
82,36.9,6:00,Home,Win
53,38.9,22:00,Home,Win
69,37.8,3:00,Not Home,Lose
107,36.1,20:00,Not Home,Win
116,37,5:00,Not Home,Lose
82,35.8,8:00,Not Home,Lose
80,38.2,13:00,Not Home,Lose
116,37,7:00,Home,Lose
74,35.4,7:00,Not Home,Lose
70,38.4,22:00,Not Home,Lose
102,36.2,2:00,Not Home,Lose
101,37.6,22:00,Not Home,Lose
50,36.9,21:00,Not Home,Win
98,36.9,20:00,Home,Win
98,36,22:00,Not Home,Win
69,37.4,18:00,Home,Win
110,35.7,20:00,Not Home,Lose
112,36.2,23:00,Home,Lose
62,37.8,23:00,Not Home,Lose
82,35.2,8:00,Home,Win
92,37.3,18:00,Not Home,Win
117,37,23:00,Home,Lose
66,38.1,14:00,Not Home,Lose
89,38.8,5:00,Not Home,Lose
89,39.2,16:00,Not Home,Lose
75,37.3,2:00,Not Home,Lose
84,37,0:00,Home,Win
80,36.9,9:00,Home,Win
75,35.9,0:00,Home,Win
119,36.4,21:00,Not Home,Lose
101,38.1,16:00,Home,Win
96,37.5,21:00,Home,Win
66,38.8,14:00,Home,Win
110,39.4,20:00,Home,Lose
50,38.3,7:00,Home,Lose
64,39.1,20:00,Not Home,Lose
60,38.6,14:00,Home,Win
116,39,6:00,Home,Lose
58,39.3,16:00,Not Home,Lose
88,39.4,16:00,Home,Win
80,35.9,18:00,Not Home,Win
81,35.1,20:00,Home,Win
79,39.5,5:00,Home,Lose
70,38.9,13:00,Not Home,Lose
54,36.2,2:00,Not Home,Lose
118,37.4,11:00,Home,Lose
71,36.3,14:00,Home,Win
58,35.9,6:00,Not Home,Lose
68,38.2,18:00,Not Home,Lose
73,37.2,5:00,Home,Win
56,35.5,17:00,Not Home,Win
78,37.8,7:00,Not Home,Lose
66,38.2,15:00,Not Home,Lose
84,37.5,19:00,Not Home,Win
85,36.3,17:00,Not Home,Win
75,39.2,21:00,Home,Win
100,38.6,14:00,Home,Win
76,37.2,15:00,Not Home,Win
96,39.6,14:00,Home,Win
84,38.2,9:00,Not Home,Lose
84,38.1,19:00,Not Home,Lose
79,37.7,10:00,Home,Win
57,35.4,13:00,Not Home,Win
79,38.1,19:00,Not Home,Lose
101,38.4,8:00,Not Home,Lose
51,37.5,20:00,Not Home,Win
115,38.8,19:00,Home,Lose
104,36,0:00,Home,Win
67,38,21:00,Not Home,Lose
50,37.4,11:00,Not Home,Win
70,37.5,5:00,Not Home,Lose
58,39.1,20:00,Home,Win
57,39.3,16:00,Not Home,Lose
86,38.7,16:00,Not Home,Lose
60,35.1,19:00,Home,Win
91,38.8,4:00,Not Home,Lose
60,37.5,17:00,Not Home,Win
113,38.2,14:00,Home,Lose
86,38.9,11:00,Home,Win
67,37.1,8:00,Not Home,Lose
62,36.2,4:00,Not Home,Lose
114,37.2,14:00,Home,Lose
108,39.5,3:00,Not Home,Lose
97,35.1,8:00,Not Home,Lose
53,35.3,14:00,Home,Win
100,35.7,8:00,Home,Win
61,37.1,1:00,Not Home,Lose
65,36.5,2:00,Home,Win
60,36.2,2:00,Not Home,Lose
66,35.4,3:00,Home,Win
68,38.8,14:00,Not Home,Lose
114,38.7,23:00,Home,Lose
110,37.1,9:00,Home,Lose
85,37.3,8:00,Home,Win
63,39.3,18:00,Not Home,Lose
63,36.5,12:00,Home,Win
69,39.1,3:00,Not Home,Lose
54,37,13:00,Not Home,Win
119,38.4,6:00,Not Home,Lose
60,38.5,20:00,Not Home,Lose
113,38.6,5:00,Not Home,Lose
100,36.3,11:00,Home,Win
89,39.3,14:00,Not Home,Lose
90,38.7,1:00,Not Home,Lose
88,36.9,6:00,Home,Win
96,39.1,6:00,Home,Lose
50,35.4,18:00,Home,Win
74,35.2,15:00,Not Home,Win
55,35.1,1:00,Not Home,Lose
66,39.5,21:00,Not Home,Lose
66,35.8,1:00,Not Home,Lose
59,36.1,1:00,Not Home,Lose
85,37.6,20:00,Not Home,Lose
98,36.6,7:00,Not Home,Lose
62,38.9,17:00,Not Home,Lose
86,39.6,0:00,Not Home,Lose
96,38.9,4:00,Home,Lose
83,36.1,3:00,Home,Win
59,35.2,19:00,Not Home,Win
93,39,13:00,Home,Win
88,39.3,19:00,Home,Win
79,35.4,5:00,Home,Win
73,39,7:00,Not Home,Lose
117,38.6,7:00,Home,Lose
84,36.2,17:00,Not Home,Win
101,36.8,7:00,Home,Win
60,39.3,23:00,Home,Lose
73,38.6,19:00,Home,Win
82,39.4,9:00,Home,Lose
52,39.3,20:00,Home,Win
88,38.6,3:00,Not Home,Lose
83,38.2,12:00,Home,Win
112,35.5,15:00,Home,Lose
89,36.9,11:00,Not Home,Win
99,36.2,8:00,Not Home,Lose
53,39.1,8:00,Not Home,Lose
91,38.9,23:00,Home,Lose
52,35.5,8:00,Home,Win
63,37.5,21:00,Not Home,Win
99,36.6,21:00,Not Home,Win
50,36.2,3:00,Home,Win
